epoch,loss,val_loss
0,0.05189030563526946,0.03335745459318989
1,0.04977412102318073,0.030896927462890744
2,0.045383350068998594,0.02709865364401291
3,0.0345672773858873,0.012441542859758355
4,0.015266500667543946,0.006016411145942079
5,0.009296997953575423,0.007095459861577385
6,0.008246663030770766,0.007962785997531481
7,0.00802897854293583,0.008559415854203204
8,0.007919924996691051,0.008749490099338194
9,0.0077833088899951245,0.009143925440083776
10,0.007431436679325998,0.008987067577739557
11,0.007315066617504671,0.009033619937124766
12,0.007146117151090194,0.009404117441994863
13,0.006590071888129431,0.00928598636528477
14,0.006568447800307739,0.008753171384645006
15,0.006439524076640515,0.008791954864540862
16,0.006310462440568499,0.008671786797802068
17,0.006191951495299979,0.009796476483138071
18,0.005610814592062791,0.00871974626271468
19,0.005668517714650257,0.009270517310748497
20,0.005952669917350271,0.007733442277337114
21,0.00558803985732971,0.008855136564104922
22,0.0053567282944951755,0.009053278093536695
23,0.005456156988923506,0.008408329100348055
24,0.004968396606627942,0.007693591514705784
25,0.008807850263376788,0.003437071281950921
26,0.005302219998046029,0.0036120780860073864
27,0.004683129744257823,0.0038020803541358975
28,0.00459759786409871,0.003895741434664362
29,0.004655094519143969,0.003913966686620067
30,0.004691533667671426,0.003922627779603418
31,0.004563241336699121,0.003909570365471559
32,0.004441030023948903,0.003972507929170711
33,0.004529028805114738,0.003969095369231784
34,0.004343319485509177,0.003975750438662039
35,0.0041954992594560835,0.003950001303261767
36,0.004573835792565127,0.0037436955220376453
37,0.0044237357506062835,0.0037858469036614727
38,0.004582925126092826,0.0038405788622589577
39,0.004241083205603745,0.0038373538732735645
40,0.004574688563191491,0.003786594076599512
41,0.00449185263899314,0.0037938501465962166
42,0.004381623959222741,0.003762570358554108
43,0.004127685399442093,0.003706504170420683
44,0.004370352968846153,0.0038563825914429296
45,0.004450774848143138,0.0037152948271897105
46,0.00450870438078532,0.003669253951455984
47,0.004316767412181035,0.0036525761113605565
48,0.004294909245090377,0.0036523288840221036
49,0.004177182480528179,0.003658494342946344
50,0.004357367726298413,0.0036519452567315763
51,0.004250773508385642,0.0036672582047887975
52,0.0042058449528157345,0.0036624723450384205
53,0.004188542662432599,0.0036736579107431075
54,0.004224476317886445,0.003669696362016516
55,0.0041671110020393915,0.0036705168313346803
56,0.004241258077033818,0.0036713803290492958
57,0.004260800425360751,0.0036727862704234817
58,0.004365762995226626,0.003675601516281151
59,0.004295874113733767,0.003674878712950481
60,0.00426903464575866,0.0036678323328184583
61,0.004328409654923101,0.0036695018061436713
62,0.004143924559551723,0.003674518511009713
63,0.0043181653337541785,0.0036715266113686892
64,0.004400756175306103,0.003675849668474661
65,0.004300604480682168,0.003686360381026235
